Coal Flow Rate (t/h),Total Air Flow Rate (t/h),Main Steam Pressure (MPa),Main Steam Temperature (C),Main Steam Flow Rate (t/h),Feed Water Temperature (C),Hot Reheat Steam Temperature (C,Condenser Vacuum (kPa),Thermal Efficiency (%),Turbine Heat Rate (kJ/kWh),Power (MW)
cfr,tafr,msp,mst,msfr,fwt,htst,cv,te,thr,power
180.2,1949.71,17.81,554.78,1421.47,279.58,557.87,-91.61,40.13,8142.93,476.2
154.39,1668.7,15.45,558.64,1226.56,270.18,557.57,-92.85,39.07,8007.86,413.66
176.38,1823.92,15.93,559.19,1365.38,274.2,561.49,-92.71,38.78,8051.79,450.61
185.68,1992.45,21.67,565.73,1618.53,288.31,564.63,-91.4,41.47,7626.27,552
175.82,1844.96,19.35,564.73,1498.28,283.95,561.48,-92.23,40.8,7646.3,511.56
178.72,1863.86,18.33,564.34,1495.29,282.41,565.8,-92.35,40.45,7739.68,508.88
183.73,1914.64,18.4,564.4,1488.58,282.52,568.91,-92.59,40.72,7808.29,511.32
174.54,1870.38,18.67,563.63,1451.13,282.01,566.47,-92.67,41.2,7745.27,502.44
146.15,1612.25,16.35,558.65,1219.82,272.87,561.46,-92.84,40.72,7577.8,427.46
162.69,1730.07,15.17,555.02,1237.5,270.77,561.42,-93.15,39.81,8105.72,422.43
191.84,1973.24,17.52,559.92,1477.12,279.63,563.79,-93.02,39.82,8078.15,494.35
196.77,2029.6,20.44,563.57,1588.11,285.66,559.01,-92.51,40.84,7746.97,535.51
175.9,1902.99,19.86,560.64,1472.59,283.63,559.61,-92.56,41.68,7758.92,509.6
164.86,1732.45,17.96,557.46,1345.33,279.31,555.48,-92.61,41.03,7573.61,466.37
154.55,1663.98,17.04,557.54,1263.61,274.66,557.22,-92.66,40.42,7652.39,436.45
143.76,1564.71,16.58,554.76,1178.68,270.1,557.43,-92.71,39.76,7767.97,406.52
134.57,1517.06,13.93,555.28,1081.99,265.01,554.83,-93.17,39.1,8046.91,371.74
136.18,1507.77,13.17,558.07,1063.6,262.94,552.71,-93.11,38.49,8094.12,362.04
133.96,1490.01,13.31,555.15,1063.04,262.98,552.55,-93.08,38.47,8083.81,361.82
135.33,1517.92,13.71,554.23,1069.29,262.84,556.58,-93.69,38.02,8080.55,366.22
167.07,1837.51,17.25,560.14,1357.31,276.04,558.85,-93.08,39.29,7918.05,458.31
166.63,1830.51,17.12,561.71,1350.81,276.15,562.68,-93.03,39.53,7934.45,459.48
166.96,1824.12,17.16,562.73,1349.68,276.29,564.02,-92.97,39.47,7898.64,459.39
165.91,1808.28,17.21,562,1343.47,276.29,563.01,-92.86,39.69,7901.46,459.13
167.3,1819.22,17.12,561.06,1352.04,276.36,560.24,-92.81,39.54,7867.03,458.72
167.78,1824.7,17.09,560.81,1354.19,276.44,559.85,-92.75,39.48,7904.79,459.19
168.44,1831.75,17.1,562.9,1353.41,276.49,562.23,-92.64,39.47,7879.99,459.61
166.7,1820.96,17.27,560.38,1349.07,276.54,563.27,-92.59,39.53,7913.51,459
167.51,1819.13,17.17,560.23,1348.48,276.33,562.97,-92.53,39.51,7888.65,458.26
168.43,1823.1,16.93,560.88,1349.71,276.28,563.65,-92.48,39.48,7898.88,458.02
168.87,1808.87,16.99,563.91,1345.5,276.31,566.2,-92.42,39.49,7921.55,458.87
168.4,1799.2,16.85,564.97,1344.64,276.41,564.32,-92.45,39.45,7907.05,458.4
